"country","key","village_id","wp_id_c","wp_id","wp_name","household_id"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BUSR49579296"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BU5J39246887"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BU7N17504518"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BUFR42441296"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BU2O30587724"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BU7C17416296"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BU3C21345887"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BU9O52257724"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BUQ312262724"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BUDF20348518"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BU3032386143"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BUY137515518"
"Uganda","UUID:693E9EAA-F16A-48AD-9EE2-CB96D6429A50","1020604003","1020604003001","WP4013001","ZEBIYA BOREHOLE","BUC347272518"
"Uganda","UUID:6C792EB1-65DF-4130-92E2-177DA123ADA8","1040202007","1040202007002","WP2007002","ZAAKAYO","BUBM01256717"
"Uganda","UUID:6C792EB1-65DF-4130-92E2-177DA123ADA8","1040202007","1040202007002","WP2007002","ZAAKAYO","BUDG21344717"
"Uganda","UUID:6C792EB1-65DF-4130-92E2-177DA123ADA8","1040202007","1040202007002","WP2007002","ZAAKAYO","BU0K44368462"
"Uganda","UUID:6C792EB1-65DF-4130-92E2-177DA123ADA8","1040202007","1040202007002","WP2007002","ZAAKAYO","BUCN47037462"
"Uganda","UUID:6C792EB1-65DF-4130-92E2-177DA123ADA8","1040202007","1040202007002","WP2007002","ZAAKAYO","BU1U28464462"
"Uganda","UUID:6C792EB1-65DF-4130-92E2-177DA123ADA8","1040202007","1040202007002","WP2007002","ZAAKAYO","BUL245116484"
"Uganda","UUID:6C792EB1-65DF-4130-92E2-177DA123ADA8","1040202007","1040202007002","WP2007002","ZAAKAYO","BUD035177187"
