country,village_id,wp_id,household_id,primary_wp_lat,primary_wp_lon
Malawi,2041805024,2041805024002,MA4329082MW2,-15.109557151794434,35.36590576171875
Malawi,2041805024,2041805024002,MA4329082MW2,-15.109598159790039,35.36587905883789
Malawi,2041805024,2041805024002,MA4329082MW2,-15.109602928161621,35.36578369140625
Malawi,2041805024,2041805024002,MA4329082MW2,-15.109710693359375,35.36579132080078
Malawi,2041805024,2041805024002,MA4329082MW2,-15.10966968536377,35.365787506103516
Malawi,2050902006,2101349269002,MAT2521910MW2,-15.399112701416016,35.0551872253418
Malawi,2050902006,2101349269002,MAT2521910MW2,-15.399170875549316,35.05519485473633
Malawi,2050902006,2101349269002,MAT2521910MW2,-15.399170875549316,35.05520248413086
Malawi,2050902006,2101349269002,MAT2521910MW2,-15.399181365966797,35.05521774291992
Malawi,2050902006,2101349269002,MAT2521910MW2,-15.399149894714355,35.055179595947266
Malawi,2011515073,2011515073004,BAF712289MW2,-15.042661666870117,35.17641830444336
Malawi,2050904017,2101349269002,MAQK45194MW2,-15.399112701416016,35.0551872253418
Malawi,2050904017,2101349269002,MAQK45194MW2,-15.399170875549316,35.05519485473633
Malawi,2050904017,2101349269002,MAQK45194MW2,-15.399170875549316,35.05520248413086
Malawi,2050904017,2101349269002,MAQK45194MW2,-15.399181365966797,35.05521774291992
Malawi,2050904017,2101349269002,MAQK45194MW2,-15.399149894714355,35.055179595947266
Malawi,2050902006,2101349269002,MA3N480110MW2,-15.399112701416016,35.0551872253418
Malawi,2050902006,2101349269002,MA3N480110MW2,-15.399170875549316,35.05519485473633
Malawi,2050902006,2101349269002,MA3N480110MW2,-15.399170875549316,35.05520248413086
Malawi,2050902006,2101349269002,MA3N480110MW2,-15.399181365966797,35.05521774291992
Malawi,2050902006,2101349269002,MA3N480110MW2,-15.399149894714355,35.055179595947266
Malawi,2050904017,2101349269002,MAUJ54101MW2,-15.399112701416016,35.0551872253418
Malawi,2050904017,2101349269002,MAUJ54101MW2,-15.399170875549316,35.05519485473633
Malawi,2050904017,2101349269002,MAUJ54101MW2,-15.399170875549316,35.05520248413086
Malawi,2050904017,2101349269002,MAUJ54101MW2,-15.399181365966797,35.05521774291992
Malawi,2050904017,2101349269002,MAUJ54101MW2,-15.399149894714355,35.055179595947266
Malawi,2070408030,2070408030001,NEGB143910MW2,-15.594499588012695,34.6987190246582
Malawi,2070408030,2070408030001,NEGB143910MW2,-15.594409942626953,34.6988639831543
Malawi,2070408030,2070408030001,NEGB143910MW2,-15.594507217407227,34.698760986328125
Malawi,2070408030,2070408030001,NEGB143910MW2,-15.594482421875,34.69866180419922
Malawi,2070408030,2070408030001,NEGB143910MW2,-15.594464302062988,34.698692321777344
Malawi,2041805024,2041805024002,MAF916374MW2,-15.109557151794434,35.36590576171875
Malawi,2041805024,2041805024002,MAF916374MW2,-15.109598159790039,35.36587905883789
Malawi,2041805024,2041805024002,MAF916374MW2,-15.109602928161621,35.36578369140625
Malawi,2041805024,2041805024002,MAF916374MW2,-15.109710693359375,35.36579132080078
Malawi,2041805024,2041805024002,MAF916374MW2,-15.10966968536377,35.365787506103516
Malawi,2050902006,2101349269002,MATM47506MW2,-15.399112701416016,35.0551872253418
Malawi,2050902006,2101349269002,MATM47506MW2,-15.399170875549316,35.05519485473633
Malawi,2050902006,2101349269002,MATM47506MW2,-15.399170875549316,35.05520248413086
Malawi,2050902006,2101349269002,MATM47506MW2,-15.399181365966797,35.05521774291992
Malawi,2050902006,2101349269002,MATM47506MW2,-15.399149894714355,35.055179595947266
Malawi,2011515073,2011515073004,BAST30504MW2,-15.042661666870117,35.17641830444336
Malawi,2050904017,2101349269002,MA6D17032MW2,-15.399112701416016,35.0551872253418
Malawi,2050904017,2101349269002,MA6D17032MW2,-15.399170875549316,35.05519485473633
Malawi,2050904017,2101349269002,MA6D17032MW2,-15.399170875549316,35.05520248413086
Malawi,2050904017,2101349269002,MA6D17032MW2,-15.399181365966797,35.05521774291992
Malawi,2050904017,2101349269002,MA6D17032MW2,-15.399149894714355,35.055179595947266
Malawi,2050902006,2101349269002,MA0403024MW2,-15.399112701416016,35.0551872253418
Malawi,2050902006,2101349269002,MA0403024MW2,-15.399170875549316,35.05519485473633
Malawi,2050902006,2101349269002,MA0403024MW2,-15.399170875549316,35.05520248413086
Malawi,2050902006,2101349269002,MA0403024MW2,-15.399181365966797,35.05521774291992
Malawi,2050902006,2101349269002,MA0403024MW2,-15.399149894714355,35.055179595947266
Malawi,2041805024,2041805024002,MA7H02157MW2,-15.109557151794434,35.36590576171875
Malawi,2041805024,2041805024002,MA7H02157MW2,-15.109598159790039,35.36587905883789
Malawi,2041805024,2041805024002,MA7H02157MW2,-15.109602928161621,35.36578369140625
Malawi,2041805024,2041805024002,MA7H02157MW2,-15.109710693359375,35.36579132080078
Malawi,2041805024,2041805024002,MA7H02157MW2,-15.10966968536377,35.365787506103516
Malawi,2011515073,2011515073004,BAFK44391MW2,-15.042661666870117,35.17641830444336
Malawi,2050902006,2101349269002,MAAN05375MW2,-15.399112701416016,35.0551872253418
Malawi,2050902006,2101349269002,MAAN05375MW2,-15.399170875549316,35.05519485473633
Malawi,2050902006,2101349269002,MAAN05375MW2,-15.399170875549316,35.05520248413086
Malawi,2050902006,2101349269002,MAAN05375MW2,-15.399181365966797,35.05521774291992
Malawi,2050902006,2101349269002,MAAN05375MW2,-15.399149894714355,35.055179595947266
Malawi,2011515073,2011515073004,BAN719546MW2,-15.042661666870117,35.17641830444336
