country,wp_intervention,outcome,mean,se,lb,ub,hhs,villages
Malawi,DSW,disctcr_02,0.26555023923444976,0.02806998714991678,0.21053407537411076,0.3205664030947888,1279,76
Malawi,ILC,disctcr_02,0.2891246684350132,0.05005633287232693,0.19101605880710407,0.3872332780629224,389,29
Uganda,DSW,disctcr_02,0.2474600870827286,0.021206704027744196,0.2058957109575495,0.2890244632079077,1529,96
Uganda,ILC,disctcr_02,0.17832167832167833,0.031040653953188654,0.11748311451685772,0.23916024212649895,287,34
Malawi,DSW,discfcr_02,0.20876494023904382,0.024674053791397223,0.1604046834553013,0.25712519702278636,1279,76
Malawi,ILC,discfcr_02,0.13793103448275862,0.029355949329066145,0.08039443106580622,0.195467637899711,389,29
Uganda,DSW,discfcr_02,0.1503267973856209,0.017674858975210143,0.11568471036238451,0.1849688844088573,1529,96
Uganda,ILC,discfcr_02,0.05244755244755245,0.015796855734854176,0.02148628413826326,0.08340882075684164,287,34
