country,wp_intervention,outcome,mean,se,lb,ub,hhs,villages
Malawi,DSW,disctcr_02,0.26555023923444976,0.02806998714991678,0.21053407537411076,0.3205664030947888,1279,76
Malawi,ILC,disctcr_02,0.2891246684350132,0.05005633287232693,0.19101605880710407,0.3872332780629224,389,29
Uganda,DSW,disctcr_02,0.300921187308086,0.02858725137130964,0.24489120420332583,0.35695117041284613,1121,60
Malawi,DSW,discfcr_02,0.20876494023904382,0.024674053791397223,0.1604046834553013,0.25712519702278636,1279,76
Malawi,ILC,discfcr_02,0.13793103448275862,0.029355949329066145,0.08039443106580622,0.195467637899711,389,29
Uganda,DSW,discfcr_02,0.19364754098360656,0.02411700553325278,0.14637907872347794,0.2409160032437352,1121,60
